Incident Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
4.00E+01;8.88E+00;2.82E-03
4.01E+01;8.87E+00;3.36E-03
4.02E+01;8.86E+00;2.65E-03
4.03E+01;8.85E+00;2.80E-03
4.04E+01;8.84E+00;2.08E-03
4.06E+01;8.84E+00;2.64E-03
4.07E+01;8.84E+00;2.46E-03
4.08E+01;8.85E+00;2.12E-03
4.09E+01;8.85E+00;2.49E-03
4.10E+01;8.85E+00;2.34E-03
4.11E+01;8.84E+00;3.00E-03
4.12E+01;8.83E+00;2.78E-03
4.13E+01;8.82E+00;2.38E-03
4.15E+01;8.81E+00;2.96E-03
4.16E+01;8.81E+00;2.21E-03
4.17E+01;8.80E+00;3.02E-03
4.18E+01;8.79E+00;2.83E-03
4.19E+01;8.78E+00;2.54E-03
4.20E+01;8.77E+00;2.26E-03
4.21E+01;8.76E+00;2.47E-03
4.22E+01;8.75E+00;3.14E-03
4.24E+01;8.74E+00;2.89E-03
4.25E+01;8.73E+00;3.14E-03
4.26E+01;8.72E+00;2.90E-03
4.27E+01;8.71E+00;2.46E-03
4.28E+01;8.71E+00;2.68E-03
4.29E+01;8.70E+00;2.56E-03
4.30E+01;8.70E+00;2.91E-03
4.31E+01;8.71E+00;1.95E-03
4.33E+01;8.72E+00;2.76E-03
4.34E+01;8.73E+00;2.55E-03
4.35E+01;8.72E+00;2.55E-03
4.36E+01;8.71E+00;2.49E-03
4.37E+01;8.68E+00;2.70E-03
4.38E+01;8.65E+00;3.10E-03
4.39E+01;8.63E+00;3.09E-03
4.40E+01;8.63E+00;3.54E-03
4.42E+01;8.64E+00;2.56E-03
4.43E+01;8.66E+00;2.88E-03
4.44E+01;8.65E+00;3.68E-03
4.45E+01;8.60E+00;2.49E-03
4.46E+01;8.60E+00;2.74E-03
4.47E+01;8.60E+00;3.06E-03
4.48E+01;8.56E+00;2.26E-03
4.49E+01;8.58E+00;3.27E-03
4.51E+01;8.47E+00;2.70E-03
4.52E+01;8.49E+00;2.82E-03
4.53E+01;8.49E+00;2.47E-03
4.54E+01;8.49E+00;2.85E-03
4.55E+01;8.47E+00;3.27E-03
4.56E+01;8.43E+00;2.31E-03
4.57E+01;8.36E+00;2.35E-03
4.58E+01;8.33E+00;2.72E-03
4.60E+01;8.32E+00;2.73E-03
4.61E+01;8.33E+00;1.82E-03
4.62E+01;8.33E+00;2.36E-03
4.63E+01;8.31E+00;2.73E-03
4.64E+01;8.28E+00;2.71E-03
4.65E+01;8.27E+00;2.79E-03
4.66E+01;8.25E+00;2.12E-03
4.67E+01;8.23E+00;2.63E-03
4.69E+01;8.22E+00;2.61E-03
4.70E+01;8.20E+00;2.83E-03
4.71E+01;8.19E+00;2.32E-03
4.72E+01;8.18E+00;3.05E-03
4.73E+01;8.17E+00;1.66E-03
4.74E+01;8.17E+00;2.55E-03
4.75E+01;8.16E+00;3.27E-03
4.76E+01;8.15E+00;2.74E-03
4.78E+01;8.15E+00;2.35E-03
4.79E+01;8.15E+00;2.33E-03
4.80E+01;8.15E+00;3.44E-03
4.81E+01;8.13E+00;1.67E-03
4.82E+01;8.11E+00;2.61E-03
4.83E+01;8.08E+00;2.96E-03
4.84E+01;8.03E+00;2.22E-03
4.85E+01;7.99E+00;2.89E-03
4.87E+01;7.97E+00;3.57E-03
4.88E+01;7.96E+00;3.49E-03
4.89E+01;7.94E+00;3.53E-03
4.90E+01;7.93E+00;3.29E-03
4.91E+01;7.92E+00;3.82E-03
4.92E+01;7.91E+00;3.74E-03
4.93E+01;7.89E+00;3.53E-03
4.94E+01;7.86E+00;2.86E-03
4.95E+01;7.83E+00;4.24E-03
4.97E+01;7.79E+00;4.40E-03
4.98E+01;7.75E+00;3.41E-03
4.99E+01;7.69E+00;3.10E-03
5.00E+01;7.62E+00;3.23E-03
5.01E+01;7.64E+00;3.17E-03
5.02E+01;7.61E+00;3.49E-03
5.03E+01;7.57E+00;3.74E-03
5.04E+01;7.54E+00;4.07E-03
5.06E+01;7.49E+00;4.27E-03
5.07E+01;7.45E+00;3.71E-03
5.08E+01;7.41E+00;3.52E-03
5.09E+01;7.36E+00;3.57E-03
5.10E+01;7.31E+00;3.85E-03
5.11E+01;7.27E+00;4.14E-03
5.12E+01;7.21E+00;4.17E-03
5.13E+01;7.16E+00;3.63E-03
5.15E+01;7.09E+00;3.40E-03
5.16E+01;7.03E+00;3.05E-03
5.17E+01;6.98E+00;3.62E-03
5.18E+01;6.92E+00;4.13E-03
5.19E+01;6.86E+00;3.85E-03
5.20E+01;6.80E+00;3.43E-03
5.21E+01;6.74E+00;3.44E-03
5.22E+01;6.68E+00;4.48E-03
5.24E+01;6.61E+00;3.73E-03
5.25E+01;6.54E+00;3.86E-03
5.26E+01;6.58E+00;3.49E-03
5.27E+01;6.54E+00;2.93E-03
5.28E+01;6.37E+00;3.51E-03
5.29E+01;6.46E+00;2.74E-03
5.30E+01;6.36E+00;3.89E-03
5.31E+01;6.42E+00;3.70E-03
5.33E+01;6.45E+00;5.15E-03
5.34E+01;6.35E+00;3.82E-03
5.35E+01;6.20E+00;3.49E-03
5.36E+01;6.11E+00;4.56E-03
5.37E+01;6.01E+00;3.63E-03
5.38E+01;6.01E+00;3.64E-03
5.39E+01;5.96E+00;4.79E-03
5.40E+01;5.68E+00;4.51E-03
5.42E+01;5.54E+00;3.50E-03
5.43E+01;5.60E+00;3.64E-03
5.44E+01;5.26E+00;4.18E-03
5.45E+01;5.21E+00;3.78E-03
5.46E+01;5.07E+00;3.73E-03
5.47E+01;4.85E+00;3.56E-03
5.48E+01;4.81E+00;3.36E-03
5.49E+01;4.51E+00;3.88E-03
5.51E+01;4.50E+00;3.98E-03
5.52E+01;4.33E+00;4.41E-03
5.53E+01;4.07E+00;4.99E-03
5.54E+01;4.02E+00;3.82E-03
5.55E+01;3.81E+00;3.71E-03
5.56E+01;3.69E+00;3.63E-03
5.57E+01;3.74E+00;4.03E-03
5.58E+01;3.64E+00;3.90E-03
5.60E+01;3.46E+00;3.51E-03
5.61E+01;3.36E+00;3.77E-03
5.62E+01;3.22E+00;4.26E-03
5.63E+01;3.05E+00;3.90E-03
