Incident Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
4.00E+01;9.48E+00;8.70E-04
4.01E+01;9.48E+00;8.70E-04
4.02E+01;9.48E+00;1.96E-03
4.03E+01;9.48E+00;5.07E-04
4.04E+01;9.48E+00;2.42E-03
4.06E+01;9.48E+00;5.07E-04
4.07E+01;9.48E+00;3.55E-15
4.08E+01;9.48E+00;5.07E-04
4.09E+01;9.48E+00;8.70E-04
4.10E+01;9.48E+00;2.15E-03
4.11E+01;9.48E+00;1.30E-03
4.12E+01;9.48E+00;1.87E-03
4.13E+01;9.48E+00;2.55E-03
4.15E+01;9.48E+00;9.99E-04
4.16E+01;9.48E+00;1.87E-03
4.17E+01;9.49E+00;2.53E-03
4.18E+01;9.49E+00;2.50E-03
4.19E+01;9.49E+00;2.38E-03
4.20E+01;9.49E+00;1.41E-03
4.21E+01;9.49E+00;1.96E-03
4.22E+01;9.49E+00;1.46E-03
4.24E+01;9.50E+00;2.55E-03
4.25E+01;9.50E+00;1.38E-03
4.26E+01;9.50E+00;1.78E-15
4.27E+01;9.50E+00;1.30E-03
4.28E+01;9.50E+00;2.26E-03
4.29E+01;9.50E+00;2.55E-03
4.30E+01;9.50E+00;1.77E-03
4.31E+01;9.50E+00;1.87E-03
4.33E+01;9.50E+00;1.43E-03
4.34E+01;9.50E+00;1.14E-03
4.35E+01;9.50E+00;2.48E-03
4.36E+01;9.50E+00;1.67E-03
4.37E+01;9.50E+00;1.80E-03
4.38E+01;9.50E+00;1.30E-03
4.39E+01;9.50E+00;2.45E-03
4.40E+01;9.51E+00;2.53E-03
4.42E+01;9.51E+00;2.26E-03
4.43E+01;9.51E+00;1.60E-03
4.44E+01;9.51E+00;5.07E-04
4.45E+01;9.51E+00;1.87E-03
4.46E+01;9.51E+00;2.38E-03
4.47E+01;9.51E+00;2.46E-03
4.48E+01;9.51E+00;2.24E-03
4.49E+01;9.51E+00;1.77E-03
4.51E+01;9.51E+00;5.07E-04
4.52E+01;9.51E+00;2.45E-03
4.53E+01;9.52E+00;2.51E-03
4.54E+01;9.52E+00;2.24E-03
4.55E+01;9.53E+00;2.55E-03
4.56E+01;9.53E+00;1.92E-03
