Angular Position of Detector (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
1.91E+02;5.97E+00;4.22E-03
1.91E+02;5.96E+00;3.94E-03
1.91E+02;5.97E+00;3.57E-03
1.91E+02;5.97E+00;2.99E-03
1.90E+02;5.98E+00;3.34E-03
1.90E+02;6.00E+00;3.38E-03
1.90E+02;6.01E+00;2.90E-03
1.90E+02;6.02E+00;3.46E-03
1.90E+02;6.04E+00;3.54E-03
1.90E+02;6.06E+00;3.23E-03
1.90E+02;6.12E+00;3.01E-03
1.90E+02;6.18E+00;3.67E-03
1.89E+02;6.26E+00;3.24E-03
1.89E+02;6.35E+00;3.10E-03
1.89E+02;6.43E+00;4.57E-03
1.89E+02;6.51E+00;3.07E-03
1.89E+02;6.59E+00;3.42E-03
1.89E+02;6.66E+00;3.12E-03
1.89E+02;6.73E+00;2.45E-03
1.89E+02;6.80E+00;3.09E-03
1.89E+02;6.87E+00;2.89E-03
1.88E+02;6.93E+00;2.36E-03
1.88E+02;6.98E+00;2.88E-03
1.88E+02;7.04E+00;2.47E-03
1.88E+02;7.09E+00;3.06E-03
1.88E+02;7.14E+00;3.36E-03
1.88E+02;7.20E+00;2.71E-03
1.88E+02;7.25E+00;2.59E-03
1.88E+02;7.29E+00;2.35E-03
1.88E+02;7.35E+00;2.12E-03
1.87E+02;7.41E+00;2.72E-03
1.87E+02;7.45E+00;2.75E-03
1.87E+02;7.49E+00;2.52E-03
1.87E+02;7.54E+00;2.54E-03
1.87E+02;7.58E+00;1.98E-03
1.87E+02;7.62E+00;2.32E-03
1.87E+02;7.66E+00;2.82E-03
1.87E+02;7.70E+00;2.80E-03
1.87E+02;7.74E+00;2.68E-03
1.86E+02;7.79E+00;3.06E-03
1.86E+02;7.83E+00;2.57E-03
1.86E+02;7.86E+00;1.90E-03
1.86E+02;7.90E+00;1.69E-03
1.86E+02;7.95E+00;2.09E-03
1.86E+02;7.98E+00;2.17E-03
1.86E+02;8.02E+00;2.38E-03
1.86E+02;8.06E+00;2.31E-03
1.86E+02;8.10E+00;2.36E-03
1.85E+02;8.14E+00;2.42E-03
1.85E+02;8.18E+00;2.38E-03
1.85E+02;8.22E+00;2.72E-03
1.85E+02;8.27E+00;1.33E-03
1.85E+02;8.32E+00;1.72E-03
1.85E+02;8.38E+00;2.76E-03
1.85E+02;8.44E+00;1.65E-03
1.85E+02;8.50E+00;7.21E-04
1.85E+02;8.56E+00;1.66E-03
1.84E+02;8.64E+00;1.91E-03
1.84E+02;8.72E+00;7.14E-04
1.84E+02;8.77E+00;2.38E-03
1.84E+02;8.79E+00;1.52E-03
1.84E+02;8.83E+00;2.20E-03
1.84E+02;8.87E+00;2.52E-03
1.84E+02;8.89E+00;2.55E-03
1.84E+02;8.94E+00;2.00E-03
