External Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
6.00E+01;9.62E+00;2.08E-03
5.99E+01;9.62E+00;2.55E-03
5.98E+01;9.62E+00;2.55E-03
5.97E+01;9.62E+00;2.11E-03
5.96E+01;9.62E+00;8.70E-04
5.94E+01;9.62E+00;5.07E-04
5.93E+01;9.62E+00;7.14E-04
5.92E+01;9.62E+00;7.14E-04
5.91E+01;9.62E+00;5.07E-04
5.90E+01;9.62E+00;7.14E-04
5.89E+01;9.62E+00;5.07E-04
5.88E+01;9.62E+00;5.07E-04
5.87E+01;9.62E+00;8.70E-04
5.85E+01;9.62E+00;8.70E-04
5.84E+01;9.62E+00;1.21E-03
5.83E+01;9.62E+00;1.82E-03
5.82E+01;9.62E+00;2.54E-03
5.81E+01;9.62E+00;2.42E-03
5.80E+01;9.62E+00;2.04E-03
5.79E+01;9.62E+00;2.40E-03
5.78E+01;9.62E+00;2.52E-03
5.77E+01;9.62E+00;2.40E-03
5.75E+01;9.62E+00;2.53E-03
5.74E+01;9.62E+00;2.52E-03
5.73E+01;9.62E+00;2.52E-03
5.72E+01;9.62E+00;2.15E-03
5.71E+01;9.62E+00;2.49E-03
5.70E+01;9.62E+00;2.48E-03
5.69E+01;9.62E+00;2.43E-03
5.68E+01;9.62E+00;2.50E-03
5.66E+01;9.62E+00;2.48E-03
5.65E+01;9.62E+00;2.08E-03
5.64E+01;9.62E+00;1.77E-03
5.63E+01;9.62E+00;1.11E-03
5.62E+01;9.62E+00;1.87E-03
5.61E+01;9.62E+00;1.11E-03
5.60E+01;9.62E+00;5.07E-04
5.59E+01;9.62E+00;9.99E-04
5.57E+01;9.62E+00;5.07E-04
5.56E+01;9.62E+00;1.78E-15
5.55E+01;9.62E+00;1.78E-15
5.54E+01;9.62E+00;1.78E-15
5.53E+01;9.62E+00;1.78E-15
5.52E+01;9.62E+00;1.78E-15
5.51E+01;9.62E+00;5.07E-04
5.50E+01;9.62E+00;1.78E-15
5.48E+01;9.62E+00;9.99E-04
5.47E+01;9.62E+00;1.78E-15
5.46E+01;9.62E+00;2.38E-03
5.45E+01;9.62E+00;2.50E-03
5.44E+01;9.62E+00;1.66E-03
5.43E+01;9.62E+00;1.53E-03
5.42E+01;9.61E+00;8.70E-04
5.41E+01;9.61E+00;0.00E+00
5.39E+01;9.61E+00;0.00E+00
5.38E+01;9.61E+00;7.14E-04
5.37E+01;9.61E+00;1.77E-03
5.36E+01;9.61E+00;2.11E-03
5.35E+01;9.61E+00;2.51E-03
5.34E+01;9.61E+00;1.11E-03
5.33E+01;9.61E+00;5.07E-04
5.32E+01;9.61E+00;5.07E-04
5.30E+01;9.61E+00;3.55E-15
5.29E+01;9.61E+00;8.70E-04
5.28E+01;9.61E+00;1.21E-03
5.27E+01;9.61E+00;2.48E-03
5.26E+01;9.60E+00;8.70E-04
5.25E+01;9.60E+00;5.07E-04
5.24E+01;9.60E+00;5.07E-04
5.23E+01;9.60E+00;2.55E-03
5.21E+01;9.60E+00;1.21E-03
5.20E+01;9.60E+00;7.14E-04
5.19E+01;9.60E+00;0.00E+00
5.18E+01;9.60E+00;0.00E+00
5.17E+01;9.60E+00;1.72E-03
5.16E+01;9.60E+00;1.53E-03
5.15E+01;9.60E+00;2.36E-03
5.14E+01;9.59E+00;1.78E-15
5.12E+01;9.59E+00;1.21E-03
5.11E+01;9.59E+00;2.51E-03
5.10E+01;9.59E+00;1.38E-03
5.09E+01;9.59E+00;1.78E-15
5.08E+01;9.59E+00;1.53E-03
5.07E+01;9.59E+00;1.66E-03
5.06E+01;9.58E+00;1.78E-15
5.05E+01;9.58E+00;2.52E-03
5.03E+01;9.58E+00;3.55E-15
5.02E+01;9.58E+00;9.99E-04
5.01E+01;9.57E+00;1.77E-03
5.00E+01;9.57E+00;1.78E-15
4.99E+01;9.57E+00;8.70E-04
4.98E+01;9.57E+00;1.92E-03
4.97E+01;9.57E+00;2.54E-03
4.96E+01;9.56E+00;7.14E-04
4.94E+01;9.56E+00;1.46E-03
4.93E+01;9.56E+00;8.70E-04
4.92E+01;9.56E+00;1.78E-15
4.91E+01;9.56E+00;1.92E-03
4.90E+01;9.55E+00;3.55E-15
4.89E+01;9.55E+00;2.48E-03
4.88E+01;9.55E+00;8.70E-04
4.87E+01;9.55E+00;5.07E-04
4.86E+01;9.54E+00;7.14E-04
4.84E+01;9.54E+00;2.11E-03
4.83E+01;9.54E+00;1.78E-15
4.82E+01;9.54E+00;2.54E-03
4.81E+01;9.53E+00;1.11E-03
4.80E+01;9.52E+00;1.11E-03
4.79E+01;9.52E+00;2.53E-03
4.78E+01;9.52E+00;3.55E-15
4.77E+01;9.51E+00;1.66E-03
4.75E+01;9.51E+00;7.14E-04
4.74E+01;9.51E+00;0.00E+00
4.73E+01;9.50E+00;2.29E-03
4.72E+01;9.50E+00;2.04E-03
4.71E+01;9.50E+00;2.52E-03
4.70E+01;9.49E+00;1.60E-03
4.69E+01;9.48E+00;5.07E-04
4.68E+01;9.48E+00;1.30E-03
4.66E+01;9.47E+00;1.21E-03
4.65E+01;9.46E+00;2.49E-03
4.64E+01;9.45E+00;1.11E-03
4.63E+01;9.44E+00;1.60E-03
4.62E+01;9.43E+00;1.21E-03
4.61E+01;9.41E+00;9.99E-04
4.60E+01;9.40E+00;9.99E-04
4.59E+01;9.39E+00;2.11E-03
4.57E+01;9.37E+00;2.18E-03
4.56E+01;9.35E+00;5.07E-04
4.55E+01;9.34E+00;1.30E-03
4.54E+01;9.31E+00;1.38E-03
4.53E+01;9.29E+00;2.38E-03
4.52E+01;9.26E+00;1.11E-03
4.51E+01;9.22E+00;2.45E-03
4.50E+01;9.18E+00;2.11E-03
4.48E+01;9.13E+00;1.92E-03
4.47E+01;9.09E+00;2.51E-03
4.46E+01;9.03E+00;1.77E-03
4.45E+01;8.97E+00;2.18E-03
4.44E+01;8.91E+00;2.49E-03
4.43E+01;8.87E+00;2.08E-03
4.42E+01;8.85E+00;2.16E-03
4.41E+01;8.86E+00;2.51E-03
4.39E+01;8.90E+00;2.70E-03
4.38E+01;8.96E+00;2.21E-03
4.37E+01;9.04E+00;2.51E-03
4.36E+01;9.13E+00;2.31E-03
4.35E+01;9.20E+00;1.21E-03
4.34E+01;9.27E+00;2.18E-03
4.33E+01;9.33E+00;1.30E-03
4.32E+01;9.39E+00;1.11E-03
4.30E+01;9.41E+00;1.87E-03
4.29E+01;9.46E+00;1.11E-03
4.28E+01;9.49E+00;7.14E-04
4.27E+01;9.52E+00;1.60E-03
4.26E+01;9.55E+00;2.49E-03
4.25E+01;9.57E+00;1.87E-03
4.24E+01;9.58E+00;7.14E-04
4.23E+01;9.60E+00;8.70E-04
4.21E+01;9.61E+00;5.07E-04
4.20E+01;9.62E+00;1.78E-15
4.19E+01;9.63E+00;1.78E-15
4.18E+01;9.64E+00;1.92E-03
4.17E+01;9.64E+00;2.31E-03
4.16E+01;9.65E+00;2.24E-03
4.15E+01;9.65E+00;1.96E-03
4.14E+01;9.66E+00;2.42E-03
4.12E+01;9.66E+00;3.55E-15
